"Time","Type","Expected Value","CVaR","Trading Cost","Maximum Value","Minimum Value","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2012-02-22","risk_neutral",1283274.19,19731.47,0.00,1502959.21,1117471.09,0.00,0.00,1268233.99,0.00,0.00,0.00,0.00,0.00,0.00,9248.36,0.00,0.00,0.00,0.00,0.00
"2012-03-21","risk_averse",978995.73,1535.41,100.00,997595.90,963127.99,252871.66,235903.22,75956.43,32829.15,7773.79,42397.94,47417.20,43808.54,88470.23,9342.95,8349.51,52576.44,22621.06,56359.70,0.00
"2012-03-21","risk_neutral",1184291.13,17851.04,0.00,1387296.66,1035272.21,0.00,0.00,1169609.80,0.00,0.00,0.00,0.00,0.00,0.00,9342.95,0.00,0.00,0.00,0.00,0.00
"2012-04-18","risk_averse",989444.36,880.92,401.41,1006827.16,972305.64,256267.69,90488.73,75861.54,32513.64,57491.08,42018.88,46909.48,117.08,89196.25,59511.86,8212.59,51881.23,68692.04,56988.54,50000.00
"2012-04-18","risk_neutral",1185025.78,16788.87,2000.00,1452537.46,1090300.87,0.00,0.00,168148.70,0.00,0.00,0.00,0.00,0.00,0.00,1009511.86,0.00,0.00,0.00,0.00,0.00
"2012-05-16","risk_averse",969192.22,1006.61,0.00,990198.19,955506.79,255628.18,92293.00,72730.30,30594.92,53310.74,39175.93,47748.33,102.88,88107.22,58226.76,7578.41,48463.63,69533.28,53805.05,48908.75
"2012-05-16","risk_neutral",1156409.27,17318.18,322.42,1451045.54,1047410.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1148920.72,0.00,0.00,0.00,0.00,0.00
"2012-06-13","risk_averse",982203.13,1306.82,0.00,999332.05,965260.02,256686.68,92739.78,75102.45,30457.35,53464.09,40483.68,49679.90,104.62,90005.24,59647.13,7723.98,48548.09,70277.89,54433.89,50118.61
"2012-06-13","risk_neutral",1182894.82,16768.96,0.00,1477707.40,1018270.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1176947.24,0.00,0.00,0.00,0.00,0.00
"2012-07-11","risk_averse",999762.30,1442.29,50.00,1019560.27,978489.39,263236.16,93796.57,72587.97,30970.96,54509.18,39277.01,49944.80,99.47,91841.02,62014.42,7821.99,49022.40,74251.06,55612.96,52127.15
"2012-07-11","risk_neutral",1229835.68,23506.47,0.00,1562818.56,1110870.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1223658.12,0.00,0.00,0.00,0.00,0.00
"2012-08-08","risk_averse",1018184.17,1289.42,100.00,1033394.40,1001618.87,263875.67,92516.39,74770.35,32111.92,21424.65,42745.41,50496.67,109.39,93562.71,61625.51,46052.04,51393.93,75490.19,57420.87,51882.02
"2012-08-08","risk_neutral",1222457.93,20167.25,0.00,1524230.22,1118331.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1215984.19,0.00,0.00,0.00,0.00,0.00
"2012-09-05","risk_averse",1033938.73,1410.06,0.00,1054732.65,1011365.12,263919.77,92628.08,78518.36,33423.47,21434.89,42252.63,49773.72,101.46,94931.77,63493.97,47817.58,52842.83,80105.66,56438.31,53518.90
"2012-09-05","risk_neutral",1259425.08,23101.13,0.00,1599056.17,1179102.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1252852.42,0.00,0.00,0.00,0.00,0.00
